Code,Name,Country,Exchange,Currency,Type,Isin
ACACU,Acri Capital Acquisition Corporation Unit,USA,NASDAQ,USD,Common Stock,KYG0103T1215
ACACW,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock,
ACAD,ACADIA Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0042251084
ACAH,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0484531043
ACAHU,Atlantic Coastal Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,US0484532033
ACAHW,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,
ACAQ-UN,Athena Consumer Acquisition Corp.,USA,NASDAQ,USD,Common Stock,
ACAX,Alset Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02115M1099
ACAXR,Alset Capital Acquisition Corp. Right,USA,NASDAQ,USD,Common Stock,
ACAXU,Alset Capital Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,US02115M2089
ACAXW,Alset Capital Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
ACB,Aurora Cannabis Inc,USA,NASDAQ,USD,Common Stock,CA05156X8843
ACBA,Ace Global Business Acquisition Ltd,USA,NASDAQ,USD,Common Stock,VGG0083E1025
ACBAU,Ace Global Business Acquisition Ltd Unit,USA,NASDAQ,USD,Common Stock,VGG0083E1280
ACBAW,Ace Global Business Acquisition Limited,USA,NASDAQ,USD,Common Stock,
ACCD,Accolade Inc,USA,NASDAQ,USD,Common Stock,US00437E1029
ACDC,ProFrac Holding Corp.,USA,NASDAQ,USD,Common Stock,
ACDCW,ProFrac Holding Corp. Warrant,USA,NASDAQ,USD,Common Stock,
ACER,Acer Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00444P1084
ACET,Adicet Bio Inc,USA,NASDAQ,USD,Common Stock,US0070021086
ACGL,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,BMG0450A1053
ACGLN,Arch Capital Group Ltd,USA,NASDAQ,USD,Preferred Stock,
ACGLO,Arch Capital Group Ltd.,USA,NASDAQ,USD,Preferred Stock,US03939A1079
ACGN,Aceragen Inc.,USA,NASDAQ,USD,Common Stock,US00445F1093
ACHC,Acadia Healthcare Company Inc,USA,NASDAQ,USD,Common Stock,US00404A1097
ACHL,Achilles Therapeutics PLC ADR,USA,NASDAQ,USD,Common Stock,US00449L1026
ACHV,Achieve Life Sciences Inc,USA,NASDAQ,USD,Common Stock,US0044685008
ACIU,AC Immune Ltd,USA,NASDAQ,USD,Common Stock,CH0329023102
ACIW,ACI Worldwide Inc,USA,NASDAQ,USD,Common Stock,US0044981019
ACLS,Axcelis Technologies Inc,USA,NASDAQ,USD,Common Stock,US0545402085
ACLX,Arcellx Inc,USA,NASDAQ,USD,Common Stock,US03940C1009
ACMR,Acm Research Inc,USA,NASDAQ,USD,Common Stock,US00108J1097
ACNB,ACNB Corporation,USA,NASDAQ,USD,Common Stock,US0008681092
ACNT,Synalloy Corporation,USA,NASDAQ,USD,Common Stock,
ACON,Aclarion Inc,USA,NASDAQ,USD,Common Stock,US6551871022
ACONW,Aclarion Inc,USA,NASDAQ,USD,Common Stock,
ACOR,Acorda Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00484M6012
ACQR,Independence Holdings Corp,USA,NASDAQ,USD,Common Stock,KYG4761A1013
ACQRU,Independence Holdings Corp Unit,USA,NASDAQ,USD,Common Stock,KYG4761A1195
ACQRW,Independence Holdings Corp,USA,NASDAQ,USD,Common Stock,
ACRS,Aclaris Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00461U1051
ACRV,Acrivon Therapeutics Inc. Common Stock,USA,NASDAQ,USD,Common Stock,
ACRX,AcelRx Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00444T1007
ACST,Acasti Pharma Inc,USA,NASDAQ,USD,Common Stock,CA00430K8730
ACT,Enact Holdings Inc,USA,NASDAQ,USD,Common Stock,US29249E1091
ACTG,Acacia Research Corporation,USA,NASDAQ,USD,Common Stock,US0038813079
ACTIX,Advisors Capital Tactical Fixed Income Fund,USA,NASDAQ,USD,FUND,
ACVA,ACV Auctions Inc,USA,NASDAQ,USD,Common Stock,US00091G1040
ACWI,iShares MSCI ACWI ETF,USA,NASDAQ,USD,ETF,US4642882579
ACWX,iShares MSCI ACWI ex U.S. ETF,USA,NASDAQ,USD,ETF,US4642882405
ACXP,Acurx Pharmaceuticals LLC,USA,NASDAQ,USD,Common Stock,US00510M1045
ADAG,Adagene Inc,USA,NASDAQ,USD,Common Stock,US0053291078
ADAL,Anthemis Digital Acquisitions I Corp,USA,NASDAQ,USD,Common Stock,KYG039591063
ADALU,Anthemis Digital Acquisitions I Corp Unit,USA,NASDAQ,USD,Common Stock,KYG039591220
ADALW,Anthemis Digital Acquisitions I Corp Warrant,USA,NASDAQ,USD,Common Stock,
ADAP,Adaptimmune Therapeutics Plc,USA,NASDAQ,USD,Common Stock,US00653A1079
ADBE,Adobe Systems Incorporated,USA,NASDAQ,USD,Common Stock,US00724F1012
ADC-PA,Agree Realty Corporation,USA,NASDAQ,USD,Common Stock,
ADD,Color Star Technology Co. Ltd.,USA,NASDAQ,USD,Common Stock,
ADEA,ADEIA CORP,USA,NASDAQ,USD,Common Stock,
ADER,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US90138P1003
ADERU,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US90138P2092
ADERW,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,
ADES,Advanced Emissions Solutions Inc,USA,NASDAQ,USD,Common Stock,US00770C1018
ADI,Analog Devices Inc,USA,NASDAQ,USD,Common Stock,US0326541051
ADIL,Adial Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00688A1060
ADILW,Adial Pharmaceuticals Inc. WT EXP 073123,USA,NASDAQ,USD,Common Stock,
ADMA,ADMA Biologics Inc,USA,NASDAQ,USD,Common Stock,US0008991046
ADMP,Adamis Pharma,USA,NASDAQ,USD,Common Stock,US00547W2089
ADN,Advent Technologies Holdings Inc,USA,NASDAQ,USD,Common Stock,US00788A1051
ADNWW,Advent Technologies Holdings Inc,USA,NASDAQ,USD,Common Stock,
ADOC,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG4000A1022
ADOCR,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,
ADOCW,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock,
ADP,Automatic Data Processing Inc,USA,NASDAQ,USD,Common Stock,US0530151036
ADPT,Adaptive Biotechnologies Corp,USA,NASDAQ,USD,Common Stock,US00650F1093
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,USA,NASDAQ,USD,ETF,US09348R3003
ADSE,Ads Tec Energy PLC,USA,NASDAQ,USD,Common Stock,IE000DU292E6
ADSEW,ADS-TEC ENERGY PLC Warrant,USA,NASDAQ,USD,Common Stock,
ADSK,Autodesk Inc,USA,NASDAQ,USD,Common Stock,US0527691069
ADTH,AdTheorent Holding Company Inc,USA,NASDAQ,USD,Common Stock,US00739D1090
ADTHW,AdTheorent Holding Company Inc,USA,NASDAQ,USD,Common Stock,
ADTN,ADTRAN Inc,USA,NASDAQ,USD,Common Stock,US00486H1059
ADTX,Aditxt Inc. ,USA,NASDAQ,USD,Common Stock,US0070251097
ADUS,Addus HomeCare Corporation,USA,NASDAQ,USD,Common Stock,US0067391062
ADV,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock,US00791N1028
ADVM,Adverum Biotechnologies Inc,USA,NASDAQ,USD,Common Stock,US00773U1088
ADVWW,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock,
ADXN,Addex Therapeutics Ltd,USA,NASDAQ,USD,Common Stock,US00654J1079
AEAE,Altenergy Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02157M1080
AEAEU,Altenergy Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,US02157M2070
AEAEW,AltEnergy Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
AEHA,Aesther Healthcare Acquisition Corp,USA,NASDAQ,USD,Common Stock,US00809L1061
AEHAW,Aesther Healthcare Acquisition Corp Warrants,USA,NASDAQ,USD,Common Stock,
AEHL,Antelope Enterprise Holdings Ltd,USA,NASDAQ,USD,Common Stock,VGG041JN1065
AEHR,Aehr Test Systems,USA,NASDAQ,USD,Common Stock,US00760J1088
AEI,Alset Ehome International Inc,USA,NASDAQ,USD,Common Stock,US02116A1043
AEIS,Advanced Energy Industries Inc,USA,NASDAQ,USD,Common Stock,US0079731008
AEL-PB,American Equity Investment Life Holding Company,USA,NASDAQ,USD,Common Stock,
AEMD,Aethlon Medical Inc,USA,NASDAQ,USD,Common Stock,US00808Y3071
AEP,American Electric Power Company Inc,USA,NASDAQ,USD,Common Stock,US0255371017
AEPPZ,American Electric Power Company Inc,USA,NASDAQ,USD,Common Stock,US02557T3077
AERC,Aeroclean Technologies LLC,USA,NASDAQ,USD,Common Stock,US0077441055
AEY,ADDvantage Technologies Group Inc,USA,NASDAQ,USD,Common Stock,US0067433062
AEYE,AudioEye Inc,USA,NASDAQ,USD,Common Stock,US0507342014
AEZS,Aeterna Zentaris Inc,USA,NASDAQ,USD,Common Stock,CA0079754028
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,KYG063621000
AFARU,Aura FAT Projects Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,KYG063621182
AFARW,Aura FAT Projects Acquisition Corp Warrant,USA,NASDAQ,USD,Common Stock,
AFBI,Affinity Bancshares Inc,USA,NASDAQ,USD,Common Stock,US00832E1038
AFCG,AFC Gamma Inc,USA,NASDAQ,USD,Common Stock,US00109K1051
AFIB,Acutus Medical Inc,USA,NASDAQ,USD,Common Stock,US0051111096
AFMD,Affimed NV,USA,NASDAQ,USD,Common Stock,NL0010872420
AFRI,Forafric Global PLC Ordinary Shares,USA,NASDAQ,USD,Common Stock,GI000A3DNK69
AFRIW,Forafric Global PLC Warrants,USA,NASDAQ,USD,Common Stock,
AFRM,Affirm Holdings Inc,USA,NASDAQ,USD,Common Stock,US00827B1061
AFYA,Afya Ltd,USA,NASDAQ,USD,Common Stock,KYG011251066
AGAE,Allied Gaming & Entertainment Inc.,USA,NASDAQ,USD,Common Stock,US0191701095
AGBA,AGBA Acquisition Ltd,USA,NASDAQ,USD,Common Stock,VGG0120M1095
AGBAW,AGBA Acquisition Limited,USA,NASDAQ,USD,Common Stock,
AGEN,Agenus Inc,USA,NASDAQ,USD,Common Stock,US00847G7051
AGFS,AgroFresh Solutions Inc,USA,NASDAQ,USD,Common Stock,US00856G1094
AGFY,Agrify Corp,USA,NASDAQ,USD,Common Stock,US00853E1073
AGGR,Agile Growth Corp,USA,NASDAQ,USD,Common Stock,KYG012021039
AGGRU,Agile Growth Corp,USA,NASDAQ,USD,Common Stock,KYG012021294
AGGRW,Agile Growth Corp,USA,NASDAQ,USD,Common Stock,
AGIL,AgileThought Inc,USA,NASDAQ,USD,Common Stock,US00857F1003
AGILW,AgileThought Inc,USA,NASDAQ,USD,Common Stock,
AGIO,Agios Pharm,USA,NASDAQ,USD,Common Stock,US00847X1046
AGLE,Aeglea Bio Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00773J1034
AGMH,AGM Group Holdings Inc Class A,USA,NASDAQ,USD,Common Stock,VGG0132V1058
AGNC,AGNC Investment Corp,USA,NASDAQ,USD,Common Stock,US00123Q1040
AGNCL,AGNC Investment Corp,USA,NASDAQ,USD,Common Stock,
AGNCM,AGNC Investment Corp,USA,NASDAQ,USD,Preferred Stock,
AGNCN,AGNC Investment Corp.,USA,NASDAQ,USD,Preferred Stock,US00123Q5009
AGNCO,AGNC Investment Corp,USA,NASDAQ,USD,Preferred Stock,
AGNCP,AGNC Investment Corp.,USA,NASDAQ,USD,Preferred Stock,
AGNG,Global X Aging Population ETF,USA,NASDAQ,USD,ETF,US37954Y7720
AGRI,AgriFORCE Growing Systems Ltd,USA,NASDAQ,USD,Common Stock,CAC009481069
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,USA,NASDAQ,USD,Common Stock,
AGRX,Agile Thrpe,USA,NASDAQ,USD,Common Stock,US00847L2097
AGYS,Agilysys Inc,USA,NASDAQ,USD,Common Stock,US00847J1051
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,USA,NASDAQ,USD,ETF,US97717W3806
AHCO,Adapthealth Corp,USA,NASDAQ,USD,Common Stock,US00653Q1022
AHG,Akso Health Group DRC,USA,NASDAQ,USD,Common Stock,US98422P1084
AHI,Advanced Human Imaging Ltd ADR,USA,NASDAQ,USD,Common Stock,US00777C1045
AHRN,Ahren Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG013221091
AHRNU,Ahren Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,KYG013221174
AHRNW,Ahren Acquisition Corp. Warrants,USA,NASDAQ,USD,Common Stock,
AIA,iShares Asia 50 ETF,USA,NASDAQ,USD,ETF,US4642884302
AIB,AIB Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0R45S1096
AIBBR,AIB Acquisition Corporation Right,USA,NASDAQ,USD,Common Stock,
AIBBU,AIB Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,KYG0R45S1252
AIH,Aesthetic Medical Intl Holding Ltd,USA,NASDAQ,USD,Common Stock,US00809M1045
AIHS,Senmiao Technology Ltd,USA,NASDAQ,USD,Common Stock,US8172252046
AIMAU,Aimfinity Investment I Corp Unit,USA,NASDAQ,USD,Common Stock,KYG0135E1008
AIMAW,Aimfinity Investment Corp. I Warrant,USA,NASDAQ,USD,Common Stock,
AIMBU,Aimfinity Investment Corp. I Subunit,USA,NASDAQ,USD,Common Stock,
AIMC,Altra Holdings Inc,USA,NASDAQ,USD,Common Stock,US02208R1068
AIMD,Ainos Inc,USA,NASDAQ,USD,Common Stock,US00902F1057
AIMDW,Ainos Inc.,USA,NASDAQ,USD,Common Stock,
AIP,Arteris Inc,USA,NASDAQ,USD,Common Stock,US04302A1043
AIQ,Global X Artificial Intelligence & Technology ETF,USA,NASDAQ,USD,ETF,US37954Y6326
AIRG,Airgain Inc,USA,NASDAQ,USD,Common Stock,US00938A1043
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,USA,NASDAQ,USD,ETF,US33738R7044
AIRS,Airsculpt Technologies Inc,USA,NASDAQ,USD,Common Stock,US0094961002
AIRT,Air T Inc,USA,NASDAQ,USD,Common Stock,US0092071010
AIRTP,Air T Inc PR,USA,NASDAQ,USD,Preferred Stock,US00919P3029
AIXI,XIAO-I Corporation American Depositary Shares,USA,NASDAQ,USD,Common Stock,
AKAM,Akamai Technologies Inc,USA,NASDAQ,USD,Common Stock,US00971T1016
AKAN,Akanda Corp,USA,NASDAQ,USD,Common Stock,CA00971M1068
AKBA,Akebia Ther,USA,NASDAQ,USD,Common Stock,US00972D1054
AKLI,Akili Inc,USA,NASDAQ,USD,Common Stock,
AKRO,Akero Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00973Y1082
AKTS,Akoustis Technologies Inc,USA,NASDAQ,USD,Common Stock,US00973N1028
AKTX,Akari Therapeutics PLC,USA,NASDAQ,USD,Common Stock,US00972G1085
AKU,Akumin Inc,USA,NASDAQ,USD,Common Stock,CA01021F1099
AKYA,Akoya Biosciences Inc,USA,NASDAQ,USD,Common Stock,US00974H1041
ALAR,Alarum Technologies Ltd.,USA,NASDAQ,USD,Common Stock,
ALBO,Albireo Pharma Inc,USA,NASDAQ,USD,Common Stock,US01345P1066
ALBT,Avalon GloboCare Corp.,USA,NASDAQ,USD,Common Stock,
ALCO,Alico Inc,USA,NASDAQ,USD,Common Stock,US0162301040
ALDX,Aldeyra The,USA,NASDAQ,USD,Common Stock,US01438T1060
ALEC,Alector Inc,USA,NASDAQ,USD,Common Stock,US0144421072
ALGM,Allegro Microsystems Inc,USA,NASDAQ,USD,Common Stock,US01749D1054
ALGN,Align Technology Inc,USA,NASDAQ,USD,Common Stock,US0162551016
ALGS,Aligos Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US01626L1052
ALGT,Allegiant Travel Company,USA,NASDAQ,USD,Common Stock,US01748X1028
ALHC,Alignment Healthcare LLC,USA,NASDAQ,USD,Common Stock,US01625V1044
ALIM,Alimera Sciences Inc,USA,NASDAQ,USD,Common Stock,US0162592028
ALJJ,ALJ Regional Holdings Inc,USA,NASDAQ,USD,Common Stock,US0016271084
ALKS,Alkermes Plc,USA,NASDAQ,USD,Common Stock,IE00B56GVS15
ALKT,Alkami Technology Inc,USA,NASDAQ,USD,Common Stock,US01644J1088
ALLK,Allakos Inc,USA,NASDAQ,USD,Common Stock,US01671P1003
ALLO,Allogene Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0197701065
ALLR,Allarity Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0167441049
ALLT,Allot Communications Ltd,USA,NASDAQ,USD,Common Stock,IL0010996549
ALNY,Alnylam Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US02043Q1076
ALOR,ALSP Orchid Acquisition I Corp,USA,NASDAQ,USD,Common Stock,KYG0231L1077
ALORU,ALSP Orchid Acquisition I Corp Unit,USA,NASDAQ,USD,Common Stock,KYG0231L1150
ALORW,ALSP Orchid Acquisition Corporation I Warrant,USA,NASDAQ,USD,Common Stock,
ALOT,AstroNova Inc,USA,NASDAQ,USD,Common Stock,US04638F1084
ALPA,Alpha Healthcare Acquisition Corp III,USA,NASDAQ,USD,Common Stock,US02073F1049
ALPAU,Alpha Healthcare Acquisition Corp III Unit,USA,NASDAQ,USD,Common Stock,US02073F2039
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,USA,NASDAQ,USD,Common Stock,
ALPN,Alpine Immune Sciences Inc,USA,NASDAQ,USD,Common Stock,US02083G1004
ALPP,Alpine 4 Holdings Inc,USA,NASDAQ,USD,Common Stock,US02083E1055
ALPS,Alpine Summit Energy Partners Inc,USA,NASDAQ,USD,Common Stock,
ALR,Alerislife Inc,USA,NASDAQ,USD,Common Stock,US33832D2053
ALRM,Alarm.com Holdings Inc,USA,NASDAQ,USD,Common Stock,US0116421050
ALRN,Aileron Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00887A1051
ALRS,Alerus Financial Corp,USA,NASDAQ,USD,Common Stock,US01446U1034
ALSA,Alpha Star Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0230C1087
ALSAR,Alpha Star Acquisition Corporation Rights,USA,NASDAQ,USD,Common Stock,
ALSAU,Alpha Star Acquisition Corp Unit,USA,NASDAQ,USD,Common Stock,KYG0230C1244
ALSAW,Alpha Star Acquisition Corporation Warrants,USA,NASDAQ,USD,Common Stock,
ALT,Altimmune Inc,USA,NASDAQ,USD,Common Stock,US02155H2004
ALTI,Alvarium Tiedemann Holdings Inc.,USA,NASDAQ,USD,Common Stock,
ALTIW,Alvarium Tiedemann Holdings Inc.,USA,NASDAQ,USD,Common Stock,
ALTO,Alto Ingredients Inc,USA,NASDAQ,USD,Common Stock,US0215131063
ALTR,Altair Engineering Inc,USA,NASDAQ,USD,Common Stock,US0213691035
ALTU,Altitude Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02156Y1038
ALTUU,Altitude Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02156Y2028
ALTUW,Altitude Acquisition Corp,USA,NASDAQ,USD,Common Stock,
ALTY,Global X Alternative Income ETF,USA,NASDAQ,USD,ETF,US37954Y8066
ALVO,Alvotech,USA,NASDAQ,USD,Common Stock,LU2458332611
ALVOW,Alvotech Warrant,USA,NASDAQ,USD,Common Stock,
ALVR,Allovir Inc,USA,NASDAQ,USD,Common Stock,US0198181036
ALXO,Alx Oncology Holdings ,USA,NASDAQ,USD,Common Stock,US00166B1052
ALYA,Alithya Group inc Class A,USA,NASDAQ,USD,Common Stock,CA01643B1067
ALZN,Alzamend Neuro Inc,USA,NASDAQ,USD,Common Stock,US02262M3088
AMAL,Amalgamated Bank,USA,NASDAQ,USD,Common Stock,US0226711010
AMAM,Ambrx Biopharma Inc. American Depositary Shares,USA,NASDAQ,USD,Common Stock,US02290A1025
AMAO,American Acquisition Opportunity Inc,USA,NASDAQ,USD,Common Stock,US02369M1027
AMAOU,American Acquisition Opportunity Inc Unit,USA,NASDAQ,USD,Common Stock,US02369M2017
AMAOW,American Acquisition Opportunity Inc,USA,NASDAQ,USD,Common Stock,
AMAT,Applied Materials Inc,USA,NASDAQ,USD,Common Stock,US0382221051
AMBA,Ambarella Inc,USA,NASDAQ,USD,Common Stock,KYG037AX1015
AMCX,AMC Networks Inc,USA,NASDAQ,USD,Common Stock,US00164V1035
AMD,Advanced Micro Devices Inc,USA,NASDAQ,USD,Common Stock,US0079031078
AMED,Amedisys Inc,USA,NASDAQ,USD,Common Stock,US0234361089
AMEH,Apollo Medical Holdings Inc,USA,NASDAQ,USD,Common Stock,US03763A2078
AMGN,Amgen Inc,USA,NASDAQ,USD,Common Stock,US0311621009
AMID,Argent Mid Cap ETF,USA,NASDAQ,USD,ETF,
AMKR,Amkor Technology Inc,USA,NASDAQ,USD,Common Stock,US0316521006
AMLI,American Lithium Corp. Common Stock,USA,NASDAQ,USD,Common Stock,
AMLX,Amylyx Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US03237H1014
AMNB,American National Bankshares Inc,USA,NASDAQ,USD,Common Stock,US0277451086
AMOT,Allied Motion Technologies Inc,USA,NASDAQ,USD,Common Stock,US0193301092
AMPG,Amplitech Group Inc,USA,NASDAQ,USD,Common Stock,US03211Q2003
AMPGW,AmpliTech Group Inc,USA,NASDAQ,USD,Common Stock,
AMPH,Amphastar P,USA,NASDAQ,USD,Common Stock,US03209R1032
AMPL,Amplitude Inc,USA,NASDAQ,USD,Common Stock,US03213A1043
AMRK,Amark Preci,USA,NASDAQ,USD,Common Stock,US00181T1079
AMRN,Amarin Corporation PLC,USA,NASDAQ,USD,Common Stock,US0231112063
AMRS,Amyris Inc,USA,NASDAQ,USD,Common Stock,US03236M2008
AMSC,American Superconductor Corporation,USA,NASDAQ,USD,Common Stock,US0301112076
AMSF,AMERISAFE Inc,USA,NASDAQ,USD,Common Stock,US03071H1005
AMST,Amesite Operating Co,USA,NASDAQ,USD,Common Stock,US0310941051
AMSWA,American Software Inc,USA,NASDAQ,USD,Common Stock,US0296831094
AMTB,Amerant Bancorp Inc Class A,USA,NASDAQ,USD,Common Stock,US0235761014
AMTI,Applied Molecular Transport Inc,USA,NASDAQ,USD,Common Stock,US03824M1099
AMTX,Aemetis Inc,USA,NASDAQ,USD,Common Stock,US00770K2024
AMV,Atlis Motor Vehicles Inc.,USA,NASDAQ,USD,Common Stock,
AMWD,American Woodmark Corporation,USA,NASDAQ,USD,Common Stock,US0305061097
AMYT,Amryt Pharma Holdings Ltd,USA,NASDAQ,USD,Common Stock,US03217L1061
AMZD,Direxion Daily AMZN Bear 1X Shares,USA,NASDAQ,USD,ETF,
AMZN,Amazon.com Inc,USA,NASDAQ,USD,Common Stock,US0231351067
AMZU,Direxion Daily AMZN Bull 1.5X Shares,USA,NASDAQ,USD,ETF,
ANAB,AnaptysBio Inc,USA,NASDAQ,USD,Common Stock,US0327241065
ANDE,The Andersons Inc,USA,NASDAQ,USD,Common Stock,US0341641035
ANEB,Anebulo Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0345691036
ANGH,Anghami De Inc,USA,NASDAQ,USD,Common Stock,KYG0369L1014
ANGHW,Anghami Inc. Warrants,USA,NASDAQ,USD,Common Stock,
ANGI,ANGI Homeservices Inc,USA,NASDAQ,USD,Common Stock,US00183L1026
ANGL,VanEck Fallen Angel High Yield Bond ETF,USA,NASDAQ,USD,ETF,US92189F4375
ANGN,Angion Biomedica Corp,USA,NASDAQ,USD,Common Stock,US03476J1079
ANGO,AngioDynamics Inc,USA,NASDAQ,USD,Common Stock,US03475V1017
ANIK,Anika Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0352551081
ANIP,ANI Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00182C1036
ANIX,Anixa Biosciences Inc,USA,NASDAQ,USD,Common Stock,US03528H1095
ANNX,Annexon Inc,USA,NASDAQ,USD,Common Stock,US03589W1027
